,State,Attractiveness,Number of Colleges
0,Mississippi,79.6810915694056,4
1,Delaware,78.68908052585182,2
2,Hawaii,77.6,1
3,South Carolina,74.89210672052644,6
4,Utah,73.64918154025331,5
5,Arizona,73.54765698050781,4
6,Vermont,72.9,2
7,Florida,71.16649116920355,20
8,Alabama,71.08746257980768,8
9,North Carolina,70.53841421736159,11
10,Minnesota,70.5036090760981,9
11,Arkansas,70.15859831539919,4
12,Louisiana,69.24532505893379,7
13,Idaho,69.1897984064092,4
14,Nebraska,67.79254949070251,2
15,West Virginia,67.6,1
16,Colorado,67.5605436432989,8
17,Tennessee,67.39892809133919,7
18,Kentucky,67.28403635010235,10
19,New Hampshire,66.5813915726232,3
20,Texas,66.43430442964127,24
21,Oklahoma,66.40674431818182,5
22,Oregon,66.34206959981981,9
23,Virginia,65.63464796222793,17
24,California,65.0858081772749,40
25,Pennsylvania,64.29109504435904,28
26,Indiana,64.22981330650404,14
27,Connecticut,63.64217213114754,6
28,District of Columbia,63.52665188608544,2
29,Montana,63.255696202531645,2
30,Washington,63.13825839252274,17
31,Iowa,62.72145327806089,5
32,Wisconsin,62.41823420844476,12
33,Michigan,62.144388747411426,20
34,Missouri,62.01323645016679,11
35,Georgia,60.721463836334586,9
36,Kansas,60.410751612903226,5
37,Ohio,60.359178070399274,21
38,Illinois,60.2168576468513,19
39,New Jersey,59.483445415826054,12
40,Massachusetts,59.39230484768299,26
41,New York,58.54950730447632,36
42,Rhode Island,57.885162853445664,3
43,Nevada,57.787921326648664,2
44,South Dakota,57.55425452509797,2
45,New Mexico,56.07266354658474,3
46,Maryland,55.247812729739586,8
47,North Dakota,54.397843563073884,3
48,Wyoming,54.2,1
49,Maine,51.7525240829937,3
50,Alaska,47.78879252461952,3
