,State,Average Attractiveness
0,California,63.5175
1,Pennsylvania,61.375
2,Tennessee,63.685714285714276
3,Texas,65.49583333333332
4,Arizona,67.575
5,Ohio,58.286363636363625
6,Mississippi,76.9
7,South Carolina,72.14999999999999
8,Florida,69.19
9,Colorado,61.1625
10,North Carolina,71.99090909090908
11,Georgia,61.955555555555556
12,Washington,61.15882352941177
13,Alabama,68.23750000000001
14,New Jersey,57.60833333333334
15,Minnesota,66.68888888888888
16,Delaware,72.05
17,Michigan,56.419999999999995
18,Virginia,62.7764705882353
19,Oklahoma,62.86
20,Indiana,56.80714285714284
21,Utah,73.14
22,Hawaii,77.6
23,Louisiana,69.35714285714286
24,N/A,58.852631578947374
25,New York,58.07222222222222
26,Kentucky,64.7
27,Maryland,53.47500000000001
28,Idaho,67.85
29,Oregon,58.53333333333334
30,Massachusetts,55.03076923076923
31,Kansas,58.6
32,New Hampshire,67.83333333333333
33,Connecticut,60.71666666666666
34,Arkansas,70.025
35,Vermont,61.45
36,Missouri,59.24545454545455
37,Nebraska,68.45
38,Wisconsin,60.69166666666667
39,Montana,64.55
40,Iowa,57.71999999999999
41,Illinois,59.73888888888889
42,South Dakota,58.3
43,West Virginia,67.6
44,North Dakota,52.4
45,District of Columbia,63.05
46,Nevada,56.199999999999996
47,Maine,46.86666666666667
48,Rhode Island,57.333333333333336
49,New Mexico,48.46666666666667
50,Wyoming,54.2
51,Alaska,48.56666666666666
