,University,Attractiveness,State,Population
0,Pepperdine University,89.7,California,10030
1,Villanova University,87.8,Pennsylvania,9800
2,Vanderbilt University,87.5,Tennessee,13710
3,Texas Christian University,87.2,Texas,12785
4,Southern Methodist University,87.0,Texas,12053
5,"Arizona State University, Main Campus",86.7,Arizona,57588
6,"Miami University, Oxford",86.1,Ohio,19752
7,University of Mississippi Main Campus,85.6,Mississippi,24710
8,Coastal Carolina University,85.6,South Carolina,10484
9,"University of California, Santa Barbara",85.5,California,26179
10,Rollins College,85.4,Florida,3127
11,University of Southern California,85.0,California,49318
12,University of Arizona,84.6,Arizona,53187
13,San Diego State University,84.1,California,37539
14,Florida State University,83.9,Florida,45493
15,University of Colorado at Boulder,83.3,Colorado,37153
16,University of Miami,83.3,Florida,19593
17,Mississippi State University,83.3,Mississippi,22649
18,Elon University,83.3,North Carolina,7117
19,Bucknell University,83.3,Pennsylvania,4121
20,University of Florida,82.6,Florida,55211
21,University of Georgia,82.4,Georgia,40118
22,University of North Carolina at Chapel Hill,82.1,North Carolina,31705
23,"University of North Carolina, Wilmington",82.1,North Carolina,18030
24,Washington State University,82.1,Washington,31471
25,Loyola Marymount University,81.9,California,10004
26,College of Charleston,81.8,South Carolina,10969
27,Auburn University Main Campus,81.4,Alabama,33015
28,Florida International University,81.3,Florida,55687
29,"California State University, San Marcos",81.3,California,13469
30,Monmouth University,81.0,New Jersey,6167
31,Florida A&M University (Agricultural & Mechanical),80.6,Florida,10028
32,Abilene Christian University,80.6,Texas,6219
33,Saint Olaf College,80.3,Minnesota,3352
34,Wake Forest University,80.3,North Carolina,8963
35,University of Delaware,79.8,Delaware,24221
36,Texas Tech University,79.6,Texas,40944
37,"California State University, Chico",79.4,California,16630
38,Hope College,79.2,Michigan,3445
39,University of Alabama,78.9,Alabama,38320
40,"California State University, Long Beach",78.8,California,38273
41,Gustavus Adolphus College,78.8,Minnesota,2450
42,University of Tennessee,78.8,Tennessee,36304
43,James Madison University,78.7,Virginia,22224
44,"Oklahoma State University, Main Campus",78.6,Oklahoma,25359
45,"Indiana University, Bloomington",78.3,Indiana,47527
46,University of Texas at Austin,78.0,Texas,52384
47,Utah Valley State College,77.8,Utah,44653
48,University of Hawaii at Manoa,77.6,Hawaii,19098
49,Brigham Young University,77.5,Utah,34390
50,Louisiana State Univ and Ag and Mech College,77.2,Louisiana,0
51,Gannon University,77.1,N/A,0
52,Hampton University,77.1,Virginia,3516
53,Hofstra University,76.9,New York,10444
54,Baylor University,76.9,Texas,20824
55,Clemson University,76.5,South Carolina,28747
56,East Carolina University,76.5,North Carolina,28021
57,University of Kentucky,76.3,Kentucky,33885
58,Towson University,76.2,Maryland,22294
59,Fordham University,76.2,New York,16986
60,University of Central Florida,76.1,Florida,69320
61,"California Polytechnic State Univ, San Luis Obispo",76.1,California,0
62,"Brigham Young University, Idaho",76.0,Idaho,41563
63,Michigan State University,76.0,Michigan,51316
64,University of Oregon,75.4,Oregon,23202
65,Dickinson College,75.3,Pennsylvania,2662
66,"Pennsylvania State University, Penn State Main Campus",75.3,Pennsylvania,89816
67,"University of Virginia, Main Campus",75.2,Virginia,25944
68,Idaho State University,75.0,Idaho,12301
69,University of Louisiana at Lafayette,75.0,Louisiana,15345
70,Boston College,75.0,Massachusetts,15106
71,College of the Holy Cross,75.0,Massachusetts,3540
72,Utah State University,75.0,Utah,28063
73,Randolph-Macon College,75.0,Virginia,1697
74,"University of Minnesota, Twin Cities",74.3,Minnesota,54890
75,Wellesley College,74.2,Massachusetts,2508
76,University of Kansas Main Campus,74.2,Kansas,26708
77,"Ohio University, Main Campus",74.2,Ohio,18502
78,Macalester College,74.1,Minnesota,2391
79,Lewis & Clark College,74.1,Oregon,3509
80,Lehigh University,74.0,Pennsylvania,6953
81,Wheaton College,73.8,N/A,0
82,Keene State College,73.8,New Hampshire,3104
83,Malone College,73.8,N/A,0
84,Washington and Lee University,73.8,Washington,2223
85,"University of California, Los Angeles",73.8,California,47518
86,University of Utah,73.7,Utah,34705
87,"Bowling Green State University, Main Campus",73.7,Ohio,20395
88,West Virginia University,73.6,Virginia,29933
89,Quinnipiac University,73.1,Connecticut,9744
90,Western Kentucky University,73.1,Kentucky,16495
91,University of Oklahoma Norman Campus,73.0,Oklahoma,0
92,Harding University,72.9,Arkansas,4879
93,Morehead State University,72.9,Kentucky,8619
94,Southeastern Louisiana University,72.9,Louisiana,14298
